Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Motorcycle over 500cc,9,1,Petrol,659
Van / Goods 3.5 tonnes mgw or under,7,1,Heavy oil,2800
Car,2,1,Petrol,1199
Car,17,1,Petrol,1397
Motorcycle 125cc and under,4,1,Petrol,124
Car,11,1,Petrol,1196
Motorcycle over 500cc,5,1,Petrol,599
Taxi/Private hire car,14,1,Heavy oil,2496
Car,2,1,Petrol,1328
Car,1,1,Petrol,998
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2800
Car,1,1,Petrol,1149
Motorcycle over 500cc,4,1,Petrol,929
Motorcycle 125cc and under,3,1,Petrol,124
Car,10,1,Heavy oil,1896
Car,4,1,Petrol,1796
Car,8,1,Petrol,1781
Car,12,1,Heavy oil,1769
Car,4,1,Petrol,1796
Car,5,1,Petrol,1995
Car,11,1,Petrol,1308
Car,3,1,Petrol,1587
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,2,1,Petrol,1240
Car,4,1,Heavy oil,1998
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,2977
Minibus (8 - 16 passenger seats),1,1,Heavy oil,1998
Car,9,1,Petrol,1850
Car,6,1,Petrol,998
Bus or coach (17 or more pass seats),5,1,Heavy oil,9600
Bus or coach (17 or more pass seats),7,1,Heavy oil,9600
Car,2,1,Petrol,1390
Car,3,1,Heavy oil,1896
Car,6,1,Petrol,1598
Motorcycle over 125cc and up to 500cc,1,1,Petrol,398
Motorcycle 125cc and under,15,1,Petrol,125
Car,3,1,Petrol,1596
Car,11,1,Petrol,1493
Car,14,1,Petrol,1587
Car,5,1,Heavy oil,1997
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,2496
Car,8,1,Heavy oil,4160
Car,5,1,Petrol,1834
Car,13,1,Petrol,1781
Car,6,1,Petrol,998
Car,9,1,Petrol,1389
Car,10,1,Petrol,3496
Car,4,1,Petrol,1994
Car,1,1,Heavy oil,1968
Van / Goods 3.5 tonnes mgw or under,7,1,Heavy oil,1753
Car,13,1,Petrol,1272
Car,4,1,Petrol,1596
Motorcycle over 125cc and up to 500cc,5,1,Petrol,499
Car,2,1,Petrol,1796
Car,10,1,Petrol,998
Car,1,1,Petrol,1242
Car,10,1,Petrol,2439
Car,4,1,Petrol,2494
Car,3,1,Petrol,1999
Car,7,1,Petrol,1390
Car,5,1,Petrol,998
Car,11,1,Petrol,1389
Car,10,1,Petrol,2259
Car,8,1,Heavy oil,1905
Car,9,1,Heavy oil,1896
Car,2,1,Heavy oil,1997
Taxi/Private hire car,9,1,Heavy oil,2664
Bus or coach (17 or more pass seats),5,1,Heavy oil,7300
Motorcycle 50cc and under,3,1,Petrol,49
Car,4,1,Petrol,1970
Car,6,1,Petrol,1998
Car,6,1,Petrol,998
Car,10,1,Petrol,1596
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1998
Car,12,1,Petrol,1998
Car,1,1,Petrol,998
Car,3,1,Petrol,1199
Car,8,1,Petrol,1590
Car,3,1,Petrol,999
Car,8,1,Petrol,1998
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,7,1,Petrol,1242
Car,7,1,Petrol,1396
Car,2,1,Petrol,1388
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,2461
Car,8,1,Petrol,1796
Car,6,1,Petrol,1341
Motorcycle 125cc and under,2,1,Petrol,124
Car,8,1,Petrol,1493
Car,1,1,Petrol,1796
Car,8,1,Petrol,1796
Car,3,1,Petrol,1390
Car,12,1,Petrol,1389
Motorcycle over 500cc,4,1,Petrol,599
Car,1,1,Petrol,1299
Car,9,1,Petrol,1596
Car,6,1,Petrol,1396
Car,9,1,Heavy oil,1994
Car,13,1,Petrol,1392
Car,9,1,Petrol,1996
Van / Goods 3.5 tonnes mgw or under,13,1,Heavy oil,2496
Car,6,1,Petrol,1800
Car,2,1,Petrol,1242
Car,5,1,Petrol,1984
Car,9,1,Petrol,1598
Car,9,1,Petrol,1781
Motorcycle 125cc and under,2,1,Petrol,124
Car,3,1,Heavy oil,2179
Car,8,1,Petrol,1242
Car,16,1,Petrol,1235
Car,12,1,Petrol,1984
Motorcycle 50cc and under,3,1,Petrol,49
Taxi/Private hire car,7,1,Petrol,1762
Car,13,1,Petrol,1388
Motorcycle 50cc and under,6,1,Petrol,49
Car,16,1,Petrol,1598
Car,12,1,Petrol,1590
Car,1,1,Heavy oil,1560
Car,1,1,Petrol,1328
Car,5,1,Petrol,599
Car,4,1,Petrol,1769
Car,3,1,Petrol,1781
Car,12,1,Petrol,1997
Bus or coach (17 or more pass seats),2,1,Heavy oil,6370
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Car,9,1,Petrol,1489
Car,2,1,Petrol,973
Car,5,1,Petrol,1299
Car,3,1,Petrol,1588
Car,7,1,Petrol,1587
Car,15,1,Petrol,1367
Car,14,1,Petrol,1590
Car,1,1,Petrol,1388
Motorcycle over 500cc,3,1,Petrol,618
Car,3,1,Petrol,1998
Car,7,1,Petrol,1391
Car,8,1,Petrol,1762
Car,2,1,Petrol,1596
Car,13,1,Petrol,1590
Car,4,1,Petrol,1761
Car,11,1,Petrol,1598
Car,4,1,Petrol,2435
Bus or coach (17 or more pass seats),9,1,Heavy oil,9600
Car,5,1,Petrol,1997
Motorcycle 50cc and under,1,1,Petrol,49
Car,9,1,Petrol,1120
Car,10,1,Petrol,1597
Car,9,1,Petrol,1360
Car,4,1,Petrol,1389
Car,8,1,Petrol,1598
Car,6,1,Petrol,4300
Van / Goods 3.5 tonnes mgw or under,5,1,Heavy oil,2151
Car,12,1,Petrol,1995
Car,1,1,Petrol,1397
Car,5,1,Petrol,973
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,2446
Car,9,1,Petrol,1597
Car,5,1,Heavy oil,1753
Car,8,1,Petrol,1392
Car,6,1,Petrol,1242
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,12,1,Petrol,1275
Car,13,1,Petrol,1998
Van / Goods 3.5 tonnes mgw or under,1,1,Gas/Bi-fuel,2295
Car,5,1,Petrol,1948
Car,9,1,Petrol,1597
Car,10,1,Petrol,1120
Car,1,1,Petrol,1229
Car,7,1,Petrol,1242
Goods 7.5 tonnes mgw and over,4,1,Heavy oil,11000
Motorcycle over 125cc and up to 500cc,15,1,Petrol,400
Motorcycle 50cc and under,1,1,Petrol,49
Car,5,1,Petrol,2494
Car,5,1,Petrol,1389
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,8,1,Petrol,1598
Car,12,1,Petrol,1796
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,7,1,Petrol,1781
Car,10,1,Petrol,1108
Car,2,1,Petrol,698
Car,7,1,Petrol,1796
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,2874
Car,2,1,Heavy oil,2496
Taxi/Private hire car,5,1,Heavy oil,2664
Car,11,1,Heavy oil,2180
Motorcycle over 125cc and up to 500cc,4,1,Petrol,499
Car,4,1,Petrol,1149
Bus or coach (17 or more pass seats),5,1,Heavy oil,8300
Car,2,1,Petrol,1587
Car,8,1,Petrol,2997
Car,11,1,Petrol,1493
Car,4,1,Petrol,1796
Car,8,1,Petrol,1598
Car,7,1,Petrol,2290
Motorcycle over 500cc,5,1,Petrol,599
Car,3,1,Petrol,1598
Car,8,1,Petrol,1597
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,10,1,Petrol,2165
Motorcycle 125cc and under,3,1,Petrol,124
Car,8,1,Petrol,1589
Car,9,1,Petrol,1108
Car,1,1,Heavy oil,2495
Car,6,1,Petrol,1242
Motorcycle over 125cc and up to 500cc,2,1,Petrol,176
Car,10,1,Petrol,1392
Car,1,1,Petrol,1242
Motorcycle 50cc and under,5,1,Petrol,50
Car,15,1,Petrol,1598
Car,5,1,Petrol,1587
Car,9,1,Petrol,1996
Car,8,1,Petrol,1391
Car,10,1,Petrol,1998
Car,8,1,Petrol,1997
Car,11,1,Petrol,1171
Car,7,1,Petrol,1781
Car,11,1,Petrol,1799
Motorcycle 125cc and under,4,1,Petrol,100
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,1,1,Petrol,4163
Car,3,1,Petrol,1796
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,2151
Car,16,1,Petrol,3590
Car,1,1,Petrol,1796
Car,3,1,Petrol,1242
Motorcycle 125cc and under,6,1,Petrol,125
Car,10,1,Heavy oil,1905
Car,11,1,Heavy oil,1905
Motorcycle 50cc and under,1,1,Petrol,49
Car,10,1,Petrol,1997
Car,5,1,Petrol,1581
Car,20,1,Petrol,1766
Bus or coach (17 or more pass seats),4,1,Heavy oil,5883
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2402
Car,12,1,Petrol,1796
Car,5,1,Petrol,1975
Car,1,1,Petrol,1149
Car,7,1,Petrol,1998
Motorcycle 125cc and under,2,1,Petrol,124
Car,4,1,Petrol,1679
Car,10,1,Petrol,1994
Car,16,1,Petrol,1498
Car,7,1,Petrol,2494
Car,1,1,Petrol,1984
Car,8,1,Petrol,998
Car,9,1,Petrol,1994
Goods 7.5 tonnes mgw and over,1,1,Heavy oil,12600
Car,5,1,Heavy oil,1686
Car,6,1,Petrol,1400
Motorcycle over 500cc,7,1,Petrol,599
Car,12,1,Petrol,2164
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1686
Motorcycle 125cc and under,2,1,Petrol,125
Car,8,1,Petrol,1799
Goods 7.5 tonnes mgw and over,2,1,Heavy oil,5900
Car,6,1,Petrol,1298
Car,9,1,Petrol,1299
Car,9,1,Petrol,1124
Car,4,1,Petrol,1149
Car,2,1,Petrol,1999
Car,13,1,Petrol,1324
Car,1,1,Petrol,1242
Motorcycle over 500cc,1,1,Petrol,998
Car,1,1,Petrol,1587
Car,4,1,Petrol,1389
Motorcycle 125cc and under,5,1,Petrol,124
Car,5,1,Petrol,1598
Motorcycle 125cc and under,8,1,Petrol,124
