Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Bus or coach (17 or more pass seats),5,1,Heavy oil,9600
Motorcycle 125cc and under,5,1,Petrol,124
Taxi/Private hire car,2,1,Heavy oil,2402
Car,2,1,Heavy oil,1896
Motorcycle over 500cc,3,1,Petrol,1157
Car,10,1,Petrol,1598
Motorcycle over 125cc and up to 500cc,7,1,Petrol,499
Car,2,1,Petrol,1360
Car,2,1,Petrol,4196
Car,6,1,Petrol,1598
Motorcycle over 500cc,3,1,Petrol,645
Motorcycle 125cc and under,2,1,Petrol,124
Taxi/Private hire car,2,1,Heavy oil,2402
Motorcycle 125cc and under,1,1,Petrol,124
Car,4,1,Petrol,2362
Car,3,1,Petrol,599
Motorcycle over 500cc,5,1,Petrol,647
Car,4,1,Petrol,1984
Car,11,1,Petrol,1391
Motorcycle over 125cc and up to 500cc,5,1,Petrol,499
Car,1,1,Petrol,1598
Car,7,1,Petrol,1998
Car,12,1,Petrol,2792
Taxi/Private hire car,9,1,Heavy oil,2664
Car,3,1,Petrol,1796
Car,3,1,Petrol,1796
Car,1,1,Petrol,1796
Car,7,1,Petrol,2398
Car,6,1,Heavy oil,1896
Car,4,1,Petrol,1781
Car,7,1,Heavy oil,1896
Car,9,1,Petrol,1781
Car,9,1,Heavy oil,1910
Car,5,1,Petrol,998
Motorcycle 125cc and under,7,1,Petrol,124
Car,6,1,Petrol,2295
Car,5,2,Petrol,1600
Car,3,1,Heavy oil,2171
Car,12,1,Petrol,1389
Motorcycle over 500cc,5,1,Petrol,996
Car,7,1,Petrol,1597
Car,3,1,Petrol,1796
Car,5,1,Petrol,1581
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Bus or coach (17 or more pass seats),1,1,Heavy oil,3900
Motorcycle 50cc and under,3,1,Petrol,49
Car,11,1,Petrol,3600
Motorcycle 125cc and under,2,1,Petrol,125
Motorcycle over 500cc,1,1,Petrol,748
Goods 7.5 tonnes mgw and over,4,1,Heavy oil,12130
Motorcycle over 500cc,2,1,Petrol,848
Car,5,1,Petrol,1800
Taxi/Private hire car,3,1,Heavy oil,2446
Motorcycle over 500cc,4,1,Petrol,647
Motorcycle 125cc and under,2,1,Petrol,124
Car,2,1,Heavy oil,2993
Motorcycle over 500cc,6,1,Petrol,599
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2151
Motorcycle 50cc and under,1,1,Petrol,49
Motorcycle 125cc and under,5,1,Petrol,100
Motorcycle 125cc and under,5,1,Petrol,100
Van / Goods 3.5 tonnes mgw or under,2,1,Gas/Bi-fuel,2295
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Motorcycle over 125cc and up to 500cc,2,1,Petrol,244
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Motorcycle over 500cc,8,1,Petrol,955
Motorcycle over 500cc,8,1,Petrol,955
Motorcycle over 125cc and up to 500cc,7,1,Petrol,499
Motorcycle over 125cc and up to 500cc,16,1,Petrol,399
Taxi/Private hire car,6,1,Heavy oil,2664
Taxi/Private hire car,4,1,Heavy oil,1896
Taxi/Private hire car,4,1,Heavy oil,1896
Motorcycle over 500cc,8,1,Petrol,600
Motorcycle over 500cc,7,1,Petrol,1157
Motorcycle over 125cc and up to 500cc,3,1,Petrol,176
Motorcycle 125cc and under,1,1,Petrol,100
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Motorcycle 125cc and under,2,1,Petrol,125
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Motorcycle over 125cc and up to 500cc,3,1,Petrol,499
Van / Goods 3.5 tonnes mgw or under,2,1,Petrol,2295
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,2402
Motorcycle over 125cc and up to 500cc,6,1,Petrol,498
Taxi/Private hire car,5,1,Heavy oil,2664
Taxi/Private hire car,3,1,Heavy oil,2402
Motorcycle 125cc and under,4,1,Petrol,124
Motorcycle over 500cc,8,1,Petrol,885
Bus or coach (17 or more pass seats),5,1,Heavy oil,7300
Motorcycle over 500cc,6,1,Petrol,599
Motorcycle over 500cc,5,1,Petrol,1188
Car,5,1,Petrol,1796
Motorcycle 125cc and under,1,1,Petrol,125
Motorcycle over 500cc,7,1,Petrol,955
Car,15,1,Petrol,3430
Car,1,1,Heavy oil,1896
Taxi/Private hire car,4,1,Heavy oil,2664
Car,1,1,Petrol,3246
Car,1,1,Petrol,3246
Car,1,1,Petrol,3246
Car,1,1,Petrol,3246
Car,2,1,Heavy oil,2496
Motorcycle over 500cc,6,1,Petrol,1298
Motorcycle over 500cc,6,1,Petrol,1298
Motorcycle 50cc and under,1,1,Petrol,49
Car,15,1,Petrol,2316
Motorcycle over 500cc,7,1,Petrol,781
Motorcycle over 500cc,10,1,Petrol,650
Taxi/Private hire car,2,1,Heavy oil,2902
Car,6,1,Petrol,2544
Motorcycle over 500cc,8,1,Petrol,1084
Taxi/Private hire car,4,1,Heavy oil,2664
Taxi/Private hire car,5,1,Heavy oil,2664
Van / Goods 3.5 tonnes mgw or under,8,1,Heavy oil,2496
Van / Goods 3.5 tonnes mgw or under,8,1,Heavy oil,2496
