Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive,Propulsion_Code,Engine_Capacity_CC
Motorcycle 125cc and under,2,1,Petrol,125
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Motorcycle over 125cc and up to 500cc,3,1,Petrol,499
Van / Goods 3.5 tonnes mgw or under,2,1,Petrol,2295
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,2402
Motorcycle over 125cc and up to 500cc,6,1,Petrol,498
Car,6,1,Petrol,2946
Taxi/Private hire car,5,1,Heavy oil,2664
Motorcycle over 500cc,8,1,Petrol,885
Goods 7.5 tonnes mgw and over,2,1,Heavy oil,6870
Bus or coach (17 or more pass seats),5,1,Heavy oil,7300
Motorcycle over 500cc,6,1,Petrol,599
Motorcycle over 500cc,5,1,Petrol,1188
Car,3,1,Petrol,1794
Car,5,1,Petrol,1796
Car,3,1,Petrol,1798
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,15,1,Petrol,3430
Car,1,1,Heavy oil,1896
Car,1,1,Petrol,3246
Car,1,1,Petrol,3246
Car,1,1,Petrol,3246
Car,1,1,Petrol,3246
Car,2,1,Heavy oil,2496
Motorcycle over 500cc,6,1,Petrol,1298
Motorcycle over 500cc,6,1,Petrol,1298
Motorcycle 50cc and under,1,1,Petrol,49
Car,15,1,Petrol,2316
Motorcycle over 500cc,7,1,Petrol,781
Motorcycle over 500cc,10,1,Petrol,650
Taxi/Private hire car,2,1,Heavy oil,2902
Car,6,1,Petrol,2544
Taxi/Private hire car,4,1,Heavy oil,2664
Taxi/Private hire car,5,1,Heavy oil,2664
Van / Goods 3.5 tonnes mgw or under,8,1,Heavy oil,2496
Van / Goods 3.5 tonnes mgw or under,8,1,Heavy oil,2496
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Bus or coach (17 or more pass seats),5,1,Heavy oil,9600
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,2151
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Car,2,1,Heavy oil,1461
Taxi/Private hire car,4,1,Petrol,1590
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Bus or coach (17 or more pass seats),1,1,Heavy oil,3900
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,1896
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,1896
Motorcycle over 500cc,2,1,Petrol,599
Taxi/Private hire car,7,1,Heavy oil,2664
Taxi/Private hire car,1,1,Petrol,1794
Car,6,1,Petrol,1800
Car,6,1,Petrol,1800
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Motorcycle over 125cc and up to 500cc,27,1,Petrol,398
Bus or coach (17 or more pass seats),5,1,Heavy oil,7300
Taxi/Private hire car,1,1,Heavy oil,2402
Car,5,1,Petrol,2597
Motorcycle over 125cc and up to 500cc,2,1,Petrol,498
