,Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
765,Taxi/Private hire car,3.0,1.0,Heavy oil,2402.0
766,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,8268.0
769,Car,7.0,1.0,Petrol,3199.0
770,Car,7.0,1.0,Petrol,1994.0
772,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,8268.0
773,Car,4.0,1.0,Petrol,1596.0
774,Car,12.0,1.0,Petrol,1275.0
775,Car,12.0,1.0,Petrol,1275.0
776,Car,4.0,1.0,Petrol,4266.0
777,Motorcycle 125cc and under,2.0,1.0,Petrol,125.0
778,Car,2.0,1.0,Petrol,1339.0
779,Motorcycle over 125cc and up to 500cc,4.0,1.0,Petrol,499.0
780,Car,3.0,1.0,Petrol,1199.0
781,Motorcycle over 500cc,5.0,1.0,Petrol,599.0
787,Motorcycle 125cc and under,2.0,1.0,Petrol,100.0
788,Van / Goods 3.5 tonnes mgw or under,8.0,1.0,Heavy oil,2446.0
790,Taxi/Private hire car,3.0,1.0,Petrol,1999.0
792,Motorcycle over 125cc and up to 500cc,5.0,1.0,Petrol,499.0
793,Motorcycle over 125cc and up to 500cc,5.0,1.0,Petrol,499.0
794,Car,10.0,1.0,Petrol,1984.0
795,Car,5.0,1.0,Petrol,1299.0
796,Motorcycle 50cc and under,2.0,1.0,Petrol,49.0
797,Taxi/Private hire car,7.0,1.0,Heavy oil,2664.0
798,Car,4.0,1.0,Heavy oil,1995.0
799,Car,7.0,1.0,Petrol,1396.0
800,Motorcycle 50cc and under,1.0,1.0,Petrol,49.0
801,Car,3.0,1.0,Petrol,5439.0
808,Car,5.0,1.0,Petrol,1497.0
809,Taxi/Private hire car,3.0,1.0,Heavy oil,2402.0
810,Car,7.0,1.0,Petrol,1598.0
811,Motorcycle over 500cc,2.0,1.0,Petrol,582.0
